Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm),year,month,trip_date,trip_day_of_week
8/17/2018,63316,109405,282583,3563,232,2018,8,17,Friday
8/18/2018,57284,125508,282795,6672,351,2018,8,18,Saturday
8/19/2018,45874,86651,282943,3926,155,2018,8,19,Sunday
8/20/2018,67589,118793,283162,3312,224,2018,8,20,Monday
8/21/2018,75214,132261,283358,3683,257,2018,8,21,Tuesday
8/22/2018,72614,125978,283543,3366,225,2018,8,22,Wednesday
8/23/2018,73877,130310,283720,3975,331,2018,8,23,Thursday
8/24/2018,72894,132952,283884,4794,320,2018,8,24,Friday
8/25/2018,64683,140537,284066,7535,345,2018,8,25,Saturday
8/26/2018,60954,132223,284268,6928,302,2018,8,26,Sunday
8/27/2018,67630,116967,284457,3350,242,2018,8,27,Monday
8/28/2018,66638,110486,284667,2814,150,2018,8,28,Tuesday
8/29/2018,65903,107006,284791,2766,171,2018,8,29,Wednesday
8/30/2018,67900,113385,284938,3218,164,2018,8,30,Thursday
8/31/2018,58922,97818,285087,3186,180,2018,8,31,Friday
9/1/2018,54318,116904,285245,6711,439,2018,9,1,Saturday
9/2/2018,60828,140923,285368,5562,292,2018,9,2,Sunday
9/3/2018,55067,117164,285609,6239,279,2018,9,3,Monday
9/4/2018,68655,114264,285867,2793,215,2018,9,4,Tuesday
9/5/2018,74981,124919,286102,2934,191,2018,9,5,Wednesday
9/6/2018,70264,113123,286304,2678,207,2018,9,6,Thursday
9/7/2018,74586,127470,286475,3523,227,2018,9,7,Friday
9/8/2018,58284,111254,286637,5442,270,2018,9,8,Saturday
9/9/2018,19950,30544,286752,895,16,2018,9,9,Sunday
9/10/2018,23949,32472,286847,463,26,2018,9,10,Monday
9/11/2018,66552,109380,286985,2456,193,2018,9,11,Tuesday
9/12/2018,53241,82748,287120,1650,115,2018,9,12,Wednesday
9/13/2018,74054,123401,287262,2874,197,2018,9,13,Thursday
9/14/2018,74330,128288,287412,3623,298,2018,9,14,Friday
9/15/2018,71185,149524,287622,7570,353,2018,9,15,Saturday
9/16/2018,69515,150281,287897,7410,270,2018,9,16,Sunday
9/17/2018,71340,118809,288137,2914,162,2018,9,17,Monday
9/18/2018,53077,82768,288266,1433,74,2018,9,18,Tuesday
9/19/2018,74372,129089,288450,3529,290,2018,9,19,Wednesday
9/20/2018,76803,129385,288599,3130,235,2018,9,20,Thursday
9/21/2018,74940,128273,288719,3677,224,2018,9,21,Friday
9/22/2018,69133,142121,289160,7511,298,2018,9,22,Saturday
9/23/2018,55494,104944,289370,4716,184,2018,9,23,Sunday
9/24/2018,71631,115888,289524,2615,289,2018,9,24,Monday
9/25/2018,25430,35795,289591,506,65,2018,9,25,Tuesday
9/26/2018,68007,110772,289698,2423,296,2018,9,26,Wednesday
9/27/2018,75370,126480,289829,3044,399,2018,9,27,Thursday
9/28/2018,57230,90249,289911,1986,296,2018,9,28,Friday
9/29/2018,69321,145920,290170,6960,906,2018,9,29,Saturday
9/30/2018,66224,139423,290467,6367,675,2018,9,30,Sunday
10/1/2018,71387,120257,290631,2618,307,2018,10,1,Monday
10/2/2018,73113,122234,290788,2666,195,2018,10,2,Tuesday
10/3/2018,76769,129720,290947,3141,199,2018,10,3,Wednesday
10/4/2018,70698,116337,291073,2838,222,2018,10,4,Thursday
10/5/2018,74744,129597,291166,3979,254,2018,10,5,Friday
10/6/2018,57599,110421,291298,5658,310,2018,10,6,Saturday
10/7/2018,60753,127033,291425,6936,277,2018,10,7,Sunday
10/8/2018,58256,95097,291549,2865,121,2018,10,8,Monday
10/9/2018,74251,123973,291672,2846,207,2018,10,9,Tuesday
10/10/2018,77317,132255,291765,3115,202,2018,10,10,Wednesday
10/11/2018,46862,70173,291862,1323,59,2018,10,11,Thursday
10/12/2018,67686,113055,291962,3453,255,2018,10,12,Friday
10/13/2018,54747,100652,292029,2430,125,2018,10,13,Saturday
10/14/2018,54297,103697,292158,4805,204,2018,10,14,Sunday
10/15/2018,59181,92219,292262,1958,95,2018,10,15,Monday
10/16/2018,66661,104171,292370,2200,158,2018,10,16,Tuesday
10/17/2018,67868,107762,292469,2341,134,2018,10,17,Wednesday
10/18/2018,61668,94356,292519,1969,143,2018,10,18,Thursday
10/19/2018,64735,105730,292604,3012,192,2018,10,19,Friday
10/20/2018,56281,109142,292711,5644,309,2018,10,20,Saturday
10/21/2018,39192,64764,292811,2488,100,2018,10,21,Sunday
10/22/2018,57919,88293,292899,1721,133,2018,10,22,Monday
10/23/2018,68086,110293,292992,2356,181,2018,10,23,Tuesday
10/24/2018,64203,98615,293077,1942,97,2018,10,24,Wednesday
10/25/2018,61637,95827,293309,2003,146,2018,10,25,Thursday
10/26/2018,59861,92569,293508,2292,131,2018,10,26,Friday
10/27/2018,13124,17949,293542,333,11,2018,10,27,Saturday
10/28/2018,42502,74540,293611,3134,154,2018,10,28,Sunday
10/29/2018,60028,92882,293722,1853,156,2018,10,29,Monday
10/30/2018,65545,102834,293819,1957,141,2018,10,30,Tuesday
10/31/2018,68447,114039,294007,2544,225,2018,10,31,Wednesday
11/1/2018,74260,128502,294111,3288,245,2018,11,1,Thursday
11/2/2018,63746,105906,294186,2817,237,2018,11,2,Friday
11/3/2018,49127,89639,294256,4200,199,2018,11,3,Saturday
11/4/2018,50713,98021,294329,5107,99,2018,11,4,Sunday
11/5/2018,33345,47328,294396,776,31,2018,11,5,Monday
11/6/2018,40271,56313,294442,1186,29,2018,11,6,Tuesday
11/7/2018,67925,112354,294527,2590,189,2018,11,7,Wednesday
11/8/2018,64441,103621,294595,2191,146,2018,11,8,Thursday
11/9/2018,36952,54282,294647,1064,63,2018,11,9,Friday
11/10/2018,37809,63740,294689,2649,132,2018,11,10,Saturday
11/11/2018,36612,64197,294744,2763,78,2018,11,11,Sunday
11/12/2018,51341,79338,294792,1707,79,2018,11,12,Monday
11/13/2018,36957,52453,294838,751,27,2018,11,13,Tuesday
11/14/2018,49621,70932,294882,935,30,2018,11,14,Wednesday
11/15/2018,24948,35594,294900,407,24,2018,11,15,Thursday
11/16/2018,34447,49576,294915,761,48,2018,11,16,Friday
11/17/2018,37974,61206,294951,2257,56,2018,11,17,Saturday
11/18/2018,34390,55093,294988,1916,45,2018,11,18,Sunday
11/19/2018,54540,83935,295037,1522,84,2018,11,19,Monday
11/20/2018,51910,75746,295070,1259,37,2018,11,20,Tuesday
11/21/2018,40417,58441,295112,1050,39,2018,11,21,Wednesday
11/22/2018,8798,12626,295200,369,20,2018,11,22,Thursday
11/23/2018,16107,23143,295439,597,26,2018,11,23,Friday
11/24/2018,20087,32011,295530,1137,41,2018,11,24,Saturday
11/25/2018,34519,60831,295688,2521,36,2018,11,25,Sunday
11/26/2018,29189,42333,296251,499,18,2018,11,26,Monday
11/27/2018,49979,74556,296351,802,31,2018,11,27,Tuesday
11/28/2018,48433,69352,296405,777,29,2018,11,28,Wednesday
11/29/2018,51468,76715,296452,1054,51,2018,11,29,Thursday
11/30/2018,46001,67098,296497,1065,47,2018,11,30,Friday
12/1/2018,37989,62304,296553,2256,37,2018,12,1,Saturday
12/2/2018,18418,26501,296584,554,11,2018,12,2,Sunday
12/3/2018,53974,85524,296664,1308,62,2018,12,3,Monday
12/4/2018,49058,71843,296708,867,27,2018,12,4,Tuesday
12/5/2018,46779,67536,296753,814,38,2018,12,5,Wednesday
12/6/2018,46543,66885,296798,910,40,2018,12,6,Thursday
12/7/2018,43841,63353,296843,948,52,2018,12,7,Friday
12/8/2018,29909,44552,296867,1271,46,2018,12,8,Saturday
12/9/2018,27547,40886,296897,1064,23,2018,12,9,Sunday
12/10/2018,43358,62699,296938,762,25,2018,12,10,Monday
12/11/2018,47335,68321,296974,823,20,2018,12,11,Tuesday
12/12/2018,47717,68600,297005,748,28,2018,12,12,Wednesday
12/13/2018,40736,57295,297042,593,14,2018,12,13,Thursday
12/14/2018,44775,66633,297078,1137,44,2018,12,14,Friday
12/15/2018,36423,57244,297119,1902,45,2018,12,15,Saturday
12/16/2018,9835,13599,297131,203,4,2018,12,16,Sunday
12/17/2018,45382,66449,297173,909,32,2018,12,17,Monday
12/18/2018,41703,58360,297205,656,22,2018,12,18,Tuesday
12/19/2018,44096,63165,297238,877,22,2018,12,19,Wednesday
12/20/2018,34026,48713,297269,751,20,2018,12,20,Thursday
12/21/2018,23996,34450,297290,481,24,2018,12,21,Friday
12/22/2018,24870,36653,297327,1088,25,2018,12,22,Saturday
12/23/2018,22230,35921,297355,1298,37,2018,12,23,Sunday
12/24/2018,18990,27246,297387,681,18,2018,12,24,Monday
12/25/2018,11177,21483,297426,1080,38,2018,12,25,Tuesday
12/26/2018,25358,39176,297487,1118,49,2018,12,26,Wednesday
12/27/2018,31169,48943,297527,1510,51,2018,12,27,Thursday
12/28/2018,12039,17576,297555,334,25,2018,12,28,Friday
12/29/2018,29037,54116,297622,2677,104,2018,12,29,Saturday
12/30/2018,22536,37741,297682,1562,51,2018,12,30,Sunday
12/31/2018,18936,29794,297748,962,31,2018,12,31,Monday
1/1/2019,22145,44131,297823,2429,49,2019,1,1,Tuesday
1/2/2019,38249,58975,297908,1062,36,2019,1,2,Wednesday
1/3/2019,42181,62500,297976,969,31,2019,1,3,Thursday
1/4/2019,44420,65739,298017,1173,33,2019,1,4,Friday
1/5/2019,17636,24326,298048,462,8,2019,1,5,Saturday
1/6/2019,31764,50481,298094,1711,31,2019,1,6,Sunday
1/7/2019,36928,52310,298152,514,18,2019,1,7,Monday
1/8/2019,41728,60469,298218,654,23,2019,1,8,Tuesday
1/9/2019,44882,63480,298263,646,23,2019,1,9,Wednesday
1/10/2019,39449,53225,298299,478,13,2019,1,10,Thursday
1/11/2019,33196,44226,298331,465,23,2019,1,11,Friday
1/12/2019,25431,35133,298361,772,26,2019,1,12,Saturday
1/13/2019,23020,33018,298399,700,18,2019,1,13,Sunday
1/14/2019,35408,48021,298439,402,9,2019,1,14,Monday
1/15/2019,39538,54751,298470,511,19,2019,1,15,Tuesday
1/16/2019,40854,56553,298510,513,7,2019,1,16,Wednesday
1/17/2019,39417,53430,298546,463,14,2019,1,17,Thursday
1/18/2019,34478,47215,298574,542,27,2019,1,18,Friday
1/19/2019,23933,34580,298595,865,28,2019,1,19,Saturday
1/20/2019,14440,19131,298616,368,8,2019,1,20,Sunday
1/21/2019,10392,11911,298632,141,5,2019,1,21,Monday
1/22/2019,28913,37788,298665,315,14,2019,1,22,Tuesday
1/23/2019,42028,59442,298692,526,10,2019,1,23,Wednesday
1/24/2019,20328,27931,298721,260,7,2019,1,24,Thursday
1/25/2019,39298,54567,298748,621,21,2019,1,25,Friday
1/26/2019,26607,38634,298778,933,18,2019,1,26,Saturday
1/27/2019,30338,48280,298828,1510,19,2019,1,27,Sunday
1/28/2019,36173,49109,298878,448,13,2019,1,28,Monday
1/29/2019,31355,42066,298919,341,12,2019,1,29,Tuesday
1/30/2019,25496,33178,298947,263,8,2019,1,30,Wednesday
1/31/2019,18882,22917,298975,186,8,2019,1,31,Thursday
2/1/2019,25289,31752,298998,255,11,2019,2,1,Friday
2/2/2019,22280,30802,299032,627,19,2019,2,2,Saturday
2/3/2019,32274,52757,299103,1743,24,2019,2,3,Sunday
2/4/2019,47049,73262,299172,1180,42,2019,2,4,Monday
2/5/2019,54710,87917,299249,1770,42,2019,2,5,Tuesday
2/6/2019,39616,55696,299296,754,27,2019,2,6,Wednesday
2/7/2019,43840,62728,299341,765,22,2019,2,7,Thursday
2/8/2019,36964,52442,299383,864,22,2019,2,8,Friday
2/9/2019,24041,33607,299409,811,10,2019,2,9,Saturday
2/10/2019,24434,35873,299449,935,6,2019,2,10,Sunday
2/11/2019,39197,54362,299493,563,20,2019,2,11,Monday
2/12/2019,16044,22190,299521,150,4,2019,2,12,Tuesday
2/13/2019,35523,48870,299551,439,21,2019,2,13,Wednesday
2/14/2019,42313,61381,299589,773,26,2019,2,14,Thursday
2/15/2019,47524,74286,299633,1590,58,2019,2,15,Friday
2/16/2019,31347,52760,299683,2030,58,2019,2,16,Saturday
2/17/2019,24287,39660,299711,1439,30,2019,2,17,Sunday
2/18/2019,26176,37500,299757,810,17,2019,2,18,Monday
2/19/2019,35226,49024,299810,595,10,2019,2,19,Tuesday
2/20/2019,20694,28763,299835,221,15,2019,2,20,Wednesday
2/21/2019,40082,60375,299871,961,37,2019,2,21,Thursday
2/22/2019,42338,61956,299913,1097,49,2019,2,22,Friday
2/23/2019,31956,49887,299956,1635,28,2019,2,23,Saturday
2/24/2019,24503,37473,299993,992,19,2019,2,24,Sunday
2/25/2019,34736,47207,300029,495,14,2019,2,25,Monday
2/26/2019,38126,52805,300067,524,23,2019,2,26,Tuesday
2/27/2019,37028,48666,300097,464,27,2019,2,27,Wednesday
2/28/2019,38784,53031,300157,652,30,2019,2,28,Thursday
3/1/2019,30242,41583,300183,522,26,2019,3,1,Friday
3/2/2019,18001,27381,300213,570,25,2019,3,2,Saturday
3/3/2019,23240,35764,300264,1115,22,2019,3,3,Sunday
3/4/2019,28424,39154,300319,563,23,2019,3,4,Monday
3/5/2019,37103,50155,300367,552,24,2019,3,5,Tuesday
3/6/2019,33287,42845,300409,376,27,2019,3,6,Wednesday
3/7/2019,35913,46582,300450,468,15,2019,3,7,Thursday
3/8/2019,40416,55748,300503,852,32,2019,3,8,Friday
3/9/2019,38929,68739,300574,3010,35,2019,3,9,Saturday
3/10/2019,18897,28056,300611,662,16,2019,3,10,Sunday
3/11/2019,52412,80705,300691,1749,56,2019,3,11,Monday
3/12/2019,47214,66518,300757,1003,40,2019,3,12,Tuesday
3/13/2019,50121,71556,300825,1194,42,2019,3,13,Wednesday
3/14/2019,57476,86864,300904,1826,82,2019,3,14,Thursday
3/15/2019,57517,95073,300987,2843,119,2019,3,15,Friday
3/16/2019,42144,74307,301086,3369,97,2019,3,16,Saturday
3/17/2019,36826,64440,301187,2755,73,2019,3,17,Sunday
3/18/2019,46535,68775,301278,1361,54,2019,3,18,Monday
3/19/2019,52997,78320,301381,1602,49,2019,3,19,Tuesday
3/20/2019,55396,83442,301476,1723,58,2019,3,20,Wednesday
3/21/2019,21248,27005,301520,342,14,2019,3,21,Thursday
3/22/2019,35477,49691,301579,1076,51,2019,3,22,Friday
3/23/2019,37379,61407,301671,2693,74,2019,3,23,Saturday
3/24/2019,50318,100843,301827,5896,79,2019,3,24,Sunday
3/25/2019,53463,79824,301952,1562,64,2019,3,25,Monday
3/26/2019,55421,81425,302083,1715,49,2019,3,26,Tuesday
3/27/2019,54483,78975,302176,1583,56,2019,3,27,Wednesday
3/28/2019,58538,87465,302430,1966,87,2019,3,28,Thursday
3/29/2019,59324,91975,302587,2573,103,2019,3,29,Friday
3/30/2019,66672,144759,302941,9151,135,2019,3,30,Saturday
3/31/2019,32768,52486,303060,1916,52,2019,3,31,Sunday
4/1/2019,51399,75072,303223,1466,76,2019,4,1,Monday
4/2/2019,57903,83399,303386,1483,73,2019,4,2,Tuesday
4/3/2019,67924,108780,303552,3013,79,2019,4,3,Wednesday
4/4/2019,66403,104268,303699,2633,87,2019,4,4,Thursday
4/5/2019,34470,46930,303766,812,46,2019,4,5,Friday
4/6/2019,66532,143054,303958,8852,139,2019,4,6,Saturday
4/7/2019,64713,138291,304216,8191,87,2019,4,7,Sunday
4/8/2019,70514,123304,304525,3804,89,2019,4,8,Monday
4/9/2019,59336,86248,304677,1684,79,2019,4,9,Tuesday
4/10/2019,70988,112985,304865,2845,116,2019,4,10,Wednesday
4/11/2019,62430,93232,305003,2222,93,2019,4,11,Thursday
4/12/2019,58010,92517,305134,2811,118,2019,4,12,Friday
4/13/2019,71500,159264,305362,10443,128,2019,4,13,Saturday
4/14/2019,58474,123470,305584,7263,119,2019,4,14,Sunday
4/15/2019,45663,71673,305722,1816,75,2019,4,15,Monday
4/16/2019,63323,106799,305906,3197,134,2019,4,16,Tuesday
4/17/2019,65249,109668,306077,3276,89,2019,4,17,Wednesday
4/18/2019,61568,98909,306205,2845,104,2019,4,18,Thursday
4/19/2019,64939,120796,306365,5782,271,2019,4,19,Friday
4/20/2019,36785,68489,306453,4049,115,2019,4,20,Saturday
4/21/2019,51869,114490,306647,7439,140,2019,4,21,Sunday
4/22/2019,44112,71869,306827,3426,69,2019,4,22,Monday
4/23/2019,75443,143334,307082,5928,202,2019,4,23,Tuesday
4/24/2019,77736,144473,307320,5868,135,2019,4,24,Wednesday
4/25/2019,60834,101124,307484,3569,114,2019,4,25,Thursday
4/26/2019,37121,55000,307578,1387,76,2019,4,26,Friday
4/27/2019,56442,111440,307737,7022,151,2019,4,27,Saturday
4/28/2019,41204,68976,307862,3338,87,2019,4,28,Sunday
4/29/2019,60801,98707,308020,2829,104,2019,4,29,Monday
4/30/2019,62668,99225,308192,2715,94,2019,4,30,Tuesday
5/1/2019,60904,93434,308383,2285,106,2019,5,1,Wednesday
5/2/2019,68714,115573,308575,3763,171,2019,5,2,Thursday
5/3/2019,62410,100885,308738,3452,151,2019,5,3,Friday
5/4/2019,56025,114113,308919,7286,110,2019,5,4,Saturday
5/5/2019,16169,25232,308988,802,16,2019,5,5,Sunday
5/6/2019,69920,121887,309187,4178,166,2019,5,6,Monday
5/7/2019,72829,126637,309356,4055,124,2019,5,7,Tuesday
5/8/2019,76398,130821,309530,4255,131,2019,5,8,Wednesday
5/9/2019,66689,105721,309646,2851,130,2019,5,9,Thursday
5/10/2019,68044,114830,309790,4427,163,2019,5,10,Friday
5/11/2019,69788,153674,310021,10581,133,2019,5,11,Saturday
5/12/2019,10730,15759,310063,475,9,2019,5,12,Sunday
5/13/2019,22300,29434,310141,553,19,2019,5,13,Monday
5/14/2019,42783,61756,310248,1301,73,2019,5,14,Tuesday
5/15/2019,74314,129217,310395,4484,140,2019,5,15,Wednesday
5/16/2019,77889,139278,310590,5354,174,2019,5,16,Thursday
5/17/2019,72118,126992,310760,5124,167,2019,5,17,Friday
5/18/2019,73143,162302,310992,11292,227,2019,5,18,Saturday
5/19/2019,69920,154638,311245,10321,193,2019,5,19,Sunday
5/20/2019,74494,133696,311495,5225,173,2019,5,20,Monday
5/21/2019,79261,139284,311686,5088,160,2019,5,21,Tuesday
5/22/2019,82021,144186,311888,5431,153,2019,5,22,Wednesday
5/23/2019,56578,93244,312082,3527,121,2019,5,23,Thursday
5/24/2019,74866,141169,312276,7322,245,2019,5,24,Friday
5/25/2019,59492,136772,312484,10682,279,2019,5,25,Saturday
5/26/2019,49950,118192,312648,9325,145,2019,5,26,Sunday
5/27/2019,66595,160750,312896,12124,136,2019,5,27,Monday
5/28/2019,59435,97330,313092,2992,96,2019,5,28,Tuesday
5/29/2019,55098,87647,313251,2952,111,2019,5,29,Wednesday
5/30/2019,52484,84325,313402,2831,129,2019,5,30,Thursday
5/31/2019,83347,156832,313606,7586,261,2019,5,31,Friday
6/1/2019,76416,164956,313815,12153,214,2019,6,1,Saturday
6/2/2019,67288,147247,314051,10419,144,2019,6,2,Sunday
6/3/2019,77678,141960,314327,6027,152,2019,6,3,Monday
6/4/2019,83301,150076,314642,6422,168,2019,6,4,Tuesday
6/5/2019,78791,134998,314889,5166,143,2019,6,5,Wednesday
6/6/2019,81323,143619,315121,6138,183,2019,6,6,Thursday
6/7/2019,82908,150312,315337,7530,256,2019,6,7,Friday
6/8/2019,78074,175352,315583,13831,206,2019,6,8,Saturday
6/9/2019,73954,167597,315861,12833,121,2019,6,9,Sunday
6/10/2019,37019,54769,316007,1566,44,2019,6,10,Monday
